KRT16,QTRTD1
DES,DYSF
VKORC1,APOC3
ESR1,ESRRA
RPS19,APP
SIRT3,HSPA9
C20orf4,TXNL4A
TOMM40,STUB1
HNF4A,C21orf59
SNAP29,C17orf70
MAPRE1,DYNC1H1
BRCA1,CTNNB1
RPL5,RNPS1
UBE2D2,MID1
CREBBP,EIF4B
RAD50,SMC1A
HBEGF,NRAS
NOTCH3,DTX1
NLRC4,NAIP
HNF1A,ANXA2
KRT1,C1QA
KPNA6,GCH1
INS,PIK3CA
GABARAPL2,PHGDH
SLC11A2,SLC11A1
POMC,CALCA
CASR,OXT
ADRA1A,GNA11
APC2,ANAPC5
YAP1,INADL
CUL4B,COPS4
PCBD1,TRIM5
SF3B4,SRSF3
MTBP,RB1
PTGFR,PROK2
COL2A1,PCOLCE2
HIST2H4B,DYNC1H1
CLTC,HGS
VDAC1,SLC25A4
TUBGCP4,CEP290
INS,RPL27
NTM,PRNP
HNF4A,IRF6
ALS2CR8,CDKN2A
CFB,CD46
RUVBL1,TERT
MRPS9,RPL10
ALK,CDK13
TYR,UBC
ESR1,HADH
GATA3,ITPK1
HNF4A,BRIX1
NOTCH1,ARRB1
CRYAB,TRAPPC9
DBNL,UBE3A
FLNA,PLCG2
CAPZA2,FLNA
CYFIP2,FMR1
TTR,APOC2
NONO,ZNRD1
SMARCB1,ZNF259
POLR3A,DIAPH1
HSPA9,HNRNPU
MAPK8IP3,MAP2K1
VCP,COPE
DIAPH1,RPL10
PKLR,HSPA8
PON2,PPP2R5D
C12orf10,SPTAN1
HNF4A,CUL2
CAV3,PDGFRB
NTRK1,GRB2
SIRT1,CACNA1C
BARD1,DDX50
B3GAT1,ITGB2
DES,TNNC1
EP300,HSP90AA2
KRT5,IGKC
CTNNB1,BCL9
GRK5,AVPR2
HNRNPU,EFTUD2
UBC,WDR36
FST,BMPR1A
BRCA1,NUP153
RHOA,TRIO
PRPF4B,EFTUD2
N4BP2,CREBBP
TRAF3,LOC445341
ARX,CLINT1
GATA1,KLF1
ADCY6,MC4R
HEPACAM2,FGFR1
PSMA3,MIER3
CHRNA9,HS6ST1
PROKR2,NMUR1
HNF4A,GOPC
NUCB2,SPTAN1
PRDX1,CBS
HRAS,SH3KBP1
SF3B4,SF3A1
STX2,SYT1
RPS6KB2,EP300
COL4A3,MMP3
INS,MAFA
HNF4A,PTPRE
L1CAM,RDX
SGOL1,DNMT3B
MTHFD1,CCNA1
ARHGAP6,SOS1
TAF3,SMAD2
HNF4A,ASB3
VCP,ANKHD1
CRAT,ABCG8
MCM6,ATR
PGAM1,UCHL1
RBM28,HIST3H3
EPB41L1,PSMB5
MYH7,PDCD6
FLNB,JUP
MLLT4,SRC
HNF4A,ALCAM
PTHLH,RAMP3
ACTB,NCF2
HNF4A,PTPN13
NOTCH3,NUMB
RELA,ACTA1
PGM5,DMD
KAT2B,MYO5B
ATXN3,CREBBP
SYNGAP1,GRIN1
BRD7,TP53
FKBP1A,SF3B4
IL36RN,GBP6
HNF4A,PHKB
IKBKG,ARL6IP4
ZNF187,TRIO
GRIA1,GRIA2
VCP,CENPH
VCP,RSU1
MIR206,PAX3
USB1,SNX27
SENP3,STUB1
SCN2B,UTP20
EFTUD2,ARPC3
COPS5,RPL5
ESR1,KDM1A
ARHGDIA,PIR
SMC3,UBR2
CFTR,HSPA1L
RAD21,PDZD2
LMNA,AKT1
SEC31A,ATP6V1B2
CASP8,XIAP
ARRDC1,PAH
CBX4,RBCK1
RPL15,RPL5
BAG3,EN2
PSMD8,MTOR
SYT1,MMS19
SNTA1,SCTR
RPL10,BAZ1B
SMARCB1,HSF1
ESR1,PSMA5
KCNA1,KCNA5
EP300,HIST2H3C
NTRK1,FRS2
GART,SOD1
DHODH,RARS2
MIR26A1,SMAD4
USP9X,UBA52
SMC3,RPLP0
JARID2,KRT14
PDE4B,PAFAH1B1
PRPF4,U2AF1
NFKB2,NONO
RBBP8,BARD1
GBA,RPS6KA3
PRKCSH,GARS
FGFR3,GAB1
PLEC,PRKCD
MTNR1B,PIK3R5
POMC,SST
NPRL2,SF3B4
NOTCH1,ZBED4
CAPZB,CBS
DHX8,RPL5
CFB,CD55
EIF3C,ATP6V1B2
CABP1,SOD1
PRSS23,ACTB
WDR45,PPP2R2C
CUL5,PCBD1
SLC2A4,TMLHE
CDON,CDH2
ESR1,LDB1
UBC,ARG1
RPA2,ACTB
CIITA,TAF9
AFG3L2,PGM2L1
HIST1H2AC,POLR3B
AKT2,PTPN11
GOPC,CTNNB1
PPP2R2D,RPL5
BAG1,PARK7
UPF1,GNPTG
EP300,CASP1
TKT,FH
GRIN2B,GNB2
PRKAG2,PFAS
SMAD3,LEMD3
NOTCH3,NCSTN
NUP93,GCK
ATP6V1F,CBS
SNTG1,DMD
COL8A2,MMP13
HOXD4,DEDD
SF3B4,ZCCHC10
HLA-DOA,STAT1
KRT1,KRT2
FGF1,PTPN11
UBD,ACTB
UROS,ATG7
SIRT1,ATP1A3
CSF1R,PIK3R1
LCK,ESR1
HNF4A,C2orf29
NTHL1,PEX14
PRL,STAT3
ADCY5,NPSR1
DYNC1H1,TUBGCP4
SGOL2,APOC3
ESR1,TMED10
TAC3,GPRASP1
COL7A1,ZC3H7A
PNKP,KRTAP4-12
INS,SHC1
CYP11B2,FDX1
GNA11,TAC1
TSHR,MOCOS
MTHFD1,PYGB
PTH2R,TSHR
SMARCE1,ARID1B
IQCB1,UBE2K
CCND3,RB1
FLNB,GRB2
CUL3,VIM
ITGAL,ITGB4
MME,EEF1A1
HNF4A,SNX17
WRN,CIAO1
CTNNB1,MAPK14
WDR48,ATP6V1B2
PTCH1,GALNT10
SUMO3,KCNA5
GATA3,FNDC3B
IL2RG,NRAS
BARD1,XRCC6
GFER,SMAD2
RUNX2,JUN
NSF,STXBP1
CDH2,CTNND2
DYNLT1,LMNA
CYTB,SDHA
GABBR1,KCNJ5
CUL3,TUBA1A
NDUFB3,UQCRH
THRA,FUS
PYGL,PRKAG3
CCDC22,CUL3
ADRBK1,GNA11
ITGB3,GULP1
LARS,GLUD1
GNA11,GNA15
PEPD,FTO
TRAF3,CYLD
SULT1A1,YAP1
C14orf149,ALDH7A1
FAF2,CUL3
SDHA,NDUFS8
FAM75A7,ATM
CDX1,GATA6
PSMD4,RBCK1
LEF1,CDKN2A
AGA,CFD
CEP55,CHMP4B
UBE2W,DNMT3B
GCGR,MC4R
RPSA,RPL5
GNB1,OR10H4
LPL,MED8
PEX10,PEX19
GBA,UBC
BAP1,UBE2O
SCN5A,RUVBL1
NFKB2,CCT3
ARAF,MAP2K1
MXI1,SMC3
CUL3,EBNA1BP2
SNCA,SRI
EP300,PLIN1
CYFIP1,ACTB
PGAM5,ZBTB16
THOC4,DDX3X
CD2AP,EGFR
PTPN13,PDE4D
RPLP0,RPS27
CDKN2A,UBE2A
PTK2,STAT1
UBC,C3
TBC1D5,TUB
TBL1XR1,CTNNB1
HNF4A,MGAT4B
EPB41L1,CACNG8
HTRA1,CDYL
RRAGB,GSS
CUL3,PTBP1
TBK1,TCP1
RBM28,RPL4
PEPD,LDHAL6B
FLRT3,FGFR1
TP53,TP73
HNF4A,SETD4
SETD1A,SUPV3L1
PMS1,BRIP1
ELF1,HOXC13
TGFBR1,OCLN
MYL4,GJC2
COL1A1,VAV1
ESR1,DDX18
BRCA2,SHFM1
SSR4,RPL4
TP53,WWOX
MAP3K1,GLUD1
HNF4A,HIF1A
BDKRB2,GNRHR
BRAP,BRAF
TBX5,KDM6A
CUL3,PRPF8
ESR1,ILF2
CCL27,CXCR4
ABCA2,ABCA4
EEF2,TPM3
STUB1,AXL
KIF21A,TCP1
ARHGDIA,ARHGAP44
ITGA2,F7
CSF1R,INPP5D
TBXA2R,PSME3
COQ2,ALG13
SMAD3,NCOA6
RPLP1,OPA1
CUL4B,HIST2H2BE
FAS,TNFRSF10C
MC3R,PLCB2
PSMC1,PSMA3
MUTYH,RPA1
KAT2B,PTEN
ESR1,TRIM25
OPHN1,ARHGEF16
HSP90B1,ACTB
SNRPF,TXNL4A
ITGB3,FGA
CPT1A,TBL1X
ESR1,MMS19
ANAPC5,PSMB9
DGUOK,DPYSL5
EFNB1,NCK2
POLR2A,IKBKG
CUL3,WDR77
LIPA,RTN4IP1
KCND3,HSPA8
TAF1,ADAM22
PEX10,PEX12
HTR5A,C3
LCK,WAS
PMM1,SOD1
GC,CDC73
GIT2,HGD
MAFB,BACH1
UBXN4,VPS13A
RPAP3,DDX3X
PTPN11,KRAS
SEC16A,CLTC
HP,SMAD3
SLC25A4,ATP6V0D1
MTCH2,CLTC
C3,MCHR1
FAS,UGDH
EFTUD2,SUGP1
HNF4A,PFDN5
TUBA1A,MAP2
TPM2,CALD1
DSP,TECR
THRA,EP300
CTNNB1,TBL1XR1
SEMA3A,PLXNA1
PDK2,HTRA1
PAK2,STAT1
SMC3,PABPC1
SDHB,UQCRC2
PFN1,MLLT4
UCP3,YWHAG
ATP2A2,NOTCH2
AKT2,TSC2
UPF3B,TOP2A
COL9A2,FURIN
NDUFB3,NDUFB6
RB1,MCM6
AZIN1,MSRB3
TMEM165,PCSK9
ALB,KRT1
HIST1H2AC,RPL5
HTR7,CUL3
FSHR,NPS
ESR1,ACTA1
NPHS1,PLAG1
PHGDH,RIC8A
SYNPO,GNAS
RICTOR,TUBA1A
ESR1,RBM39
HSD17B4,ACTB
MLF2,POP1
CUL3,TIMM13
SOS1,ARHGAP32
ACTN1,TTN
UBC,AIP
RAD23A,NGLY1
CASR,GCGR
FBN1,LTBP4
TP53,TSG101
UBC,ITM2B
POLR1B,RPL10
MEN1,HSPA4
PNKP,NRD1
PRKCE,KRT1
INVS,B9D2
MEN1,MYH9
FLNA,GNB2
ITPK1,NFKBIA
NONO,HDAC2
RPS3A,SPTAN1
COL9A2,MMP7
S1PR1,GNB1
SQSTM1,MUTED
PSMD14,CBS
KITLG,SKP2
TACR3,PROK2
YES1,SRC
POR,HSPA8
SOD1,NCBP2
UFM1,USP9X
AVPR2,DERL1
CSTF1,BRCA1
C3,S1PR2
TGFBR2,RELT
ASCC1,IGKC
HNF4A,HSPA5
CFTR,CLCN3
CDC27,PSMA3
SCARA3,SETD2
GRIN2B,ARF3
SOX2,TEAD1
ESR2,EP300
MTNR1B,PPBP
TPI1,PKLR
DHX38,PSMB8
PCNT,PON2
PTMA,ASNS
APOE,OR8D2
SRPRB,RPL5
SLC2A9,DDX54
SARS2,HARS2
GALNT2,B3GNT4
CPT1A,NCOA1
FAM71E2,APOC3
RRM2B,OAT
MBIP,CRTAP
COL4A3,MMP19
MC2R,CRHR2
NOD2,TLE1
STRN4,ASNS
NFKB2,CAD
PPP2R1B,RAB18
CAPN1,CARS2
HTRA2,HSD17B10
SUCLG2,GPR143
TCIRG1,ATP6V1B1
SIAE,MANEAL
PRKACB,CBS
MYD88,PFKL
PALB2,AHSG
EMD,LSM2
VAV1,ACTA1
SMARCA4,ARID1B
ITGA4,FUS
ESR1,REEP6
SMARCAD1,EHMT1
HNF4A,BTN2A1
HNF4A,PDK4
FGB,APBB1IP
ESR1,RRP12
EGFR,ESR1
KCNMA1,RPS14
HNF1A,IFNA10
PHGDH,XYLB
AGA,SETX
GNB1,OR51Q1
SCNN1G,NEDD4L
GATA3,AR
HNF1A,SEL1L
CUL3,MRPL19
GNA11,GNAI1
CDC73,LEO1
STK11,LIMS1
CTAGE5,KRT16
CUL3,KLHL20
INS,RPS4Y1
TGFBR1,NEDD4L
BARD1,GTSE1
CAV3,RABGGTA
GAS8,PIN4
ASCC1,PNMA2
NCSTN,MAD2L1
SOS1,ARAP3
ADCY5,CALCA
GCH1,PGD
HSP90AA1,STUB1
PPP2R5D,RPL18A
STUB1,AHR
UBC,DCAF17
PPP3CC,VPS13C
MAPK6,ARHGDIA
GNB1,OR8J1
CUL3,IKBKAP
PHGDH,VTN
SDHB,NDUFB9
CLTC,RPS6KA5
ZNF274,CDKN2A
RUNX1,APOL1
PSMC6,SLC25A4
MMP26,MMP9
CSF2,SOS1
CHEK2,CSNK2B
HSPA8,TNFRSF1A
CUL4B,RPS25
CPT2,SMARCD3
FTO,MVD
CUL3,DHX15
TRAF6,PSEN1
FUS,FAM98A
RPL6,LARP7
CFHR4,C3
DIAPH1,KLC4
ABCB7,PDCD6
HNF4A,SSBP1
SBDS,MYO5B
GRB14,EGFR
HNF4A,PSMA2
HNF4A,FAM53C
CFTR,GRN
INSR,CALM3
RPL5,TP53
CKAP5,PCNT
C3,GNA12
MYH11,TLN1
MIR449A,NOTCH1
LYL1,NFKBIA
EIF3G,PDHA1
CLTC,ATP5C1
IFNA17,PTPN11
RAD21,RPS17
FGB,ITGB2
ZMAT2,RPL5
SULT2A1,TBL1XR1
RHOJ,TRIO
ATP5C1,EGFR
MPZ,PINX1
RIT1,TCEB2
HNF4A,COMMD9
CLTC,Q6ZSR9
ESR1,APRT
C3,NMUR2
DCX,TRIM39
STAT1,PPP2R4
SMAD4,UBE2Z
HDAC5,GLUD1
MSH6,SUPT5H
PRNP,CIRH1A
PHGDH,ASS1
CCR7,ADCY5
CUL3,GCAT
LPL,LRP1
ATG4D,TUBA1A
VSIG4,ATP2C1
OR2T6,KCNMA1
B3GALT2,GNPTAB
SMAD2,SNAPIN
PLK1,CEP57
PRDM1,GLI3
SYNCRIP,APTX
GIP,LHCGR
CRB1,SERPING1
CACNA1A,AP2M1
SNCA,RALGDS
AP1S2,AP1G1
MEP1A,POMC
BMPR1A,SLC30A1
SOS1,ARHGAP8
KIT,BTK
ACTB,DSTN
CHUK,PAX8
AGA,APOA2
SLC2A4,TUBA1A
NF1,NOSIP
VDR,NOD2
PIK3CD,PLCG2
DNM2,TYK2
ATM,CDC45
MIP,CPT2
FLNA,S100A10
ZBTB16,FHL3
ZNF337,RPGRIP1
PRDX1,SOD1
USP14,ZDHHC9
SDC2,B3GALT6
KIAA1712,CRB1
MTOR,TP53
STAR,LIPE
LYN,STAT3
DYSF,DNAJB6
GLI3,CSNK1E
YWHAZ,CRYAB
GAB1,KL
VCP,PPP2R2A
RIPK3,SPECC1L
MAGOH,RPS19
PTPN11,KLRC1
NFKBIA,RPS27A
GSK3B,NF1
ADAM17,MIR122
SDHD,UQCRB
ATP6V1B1,CD63
CYP1B1,PLA2G4A
PPARG,CDK19
LHCGR,CGB
UCHL1,TUBB
TGFBR1,DCAF6
PYGM,WDR75
HNF4A,SNRPD3
DPEP2,GALNS
HRAS,MYC
HNF4A,FCAMR
ITK,SPRR2A
INPPL1,KRT14
SBDS,RPF1
RELB,IKBKG
AARS,FLNA
RPL11,UPF3B
HRAS,CDC25A
CHEK2,EIF2S3
HSPA4,PRNP
SMAD3,CEBPB
FBN2,EMILIN1
SEC24A,RPL10
CFTR,WFS1
DMD,IGHG1
HNF4A,MSRB2
LPCAT3,PNPLA8
EGFR,DCN
SLX4,KRT4
MPP6,FTL
GNB1,OR5L1
TNP1,PPARG
HSP90AA1,TNFAIP3
MMP7,MMP9
TFRC,TCIRG1
TICAM2,IRF3
CAPN1,GINS3
PDGFRA,SRC
PEPD,SPP1
MTHFD1,CORO2B
HNF4A,TMEM59
ATP5B,SDHB
CUL7,GLMN
NIF3L1,ATP6V1B2
HSPA9,STIP1
RUNX1,DNMT1
CPT2,NCOA6
CLTC,STX1B
RHOBTB2,ARHGAP29
XRCC5,RTEL1
GNRH2,TACR3
MTHFD1,ICT1
GHRHR,PTHLH
BCS1L,NDUFAF2
MYC,ABCA1
HK1,UBA5
BMPR1B,RAP2A
MKRN3,RNF32
CORO1C,SPTAN1
CUL1,PCBD1
SLC25A4,AIMP1
KCND3,KCNIP4
CREG1,RB1
CACNA1C,CACNB2
HSPA9,ACACA
VCP,ATP6V1B2
LARS2,PMM2
ESR1,ASXL1
CHEK2,ZDHHC17
CRHBP,SQSTM1
F2,KISS1R
ADCY5,CXCL3
UBE2A,MYO7A
VCP,DIAPH3
IRF2,MYD88
ABCB7,APP
GNB1,OR2AT4
NR5A1,BARD1
EYA1,ARFIP2
UTP18,ATP6V1B2
HNF4A,DNAJB11
CUL3,SERBP1
SACM1L,OCRL
XIAP,HCCS
HNF4A,ARMC1
GNB5,GNAT1
CPOX,HSPA9
IRAK1,NLRP12
BRCA1,UBE2W
FLNA,CLTA
EXT1,AGRN
ZIC1,IRF2BP2
NFATC3,STIM1
DNAJC2,RPL5
RBM28,SOAT2
OPHN1,FGD3
GNB1,S1PR2
UNG,SPTAN1
SMARCAD1,RAB3GAP2
NLRP3,CBX3
MRPL4,POLG
EIF2B2,TUBA4A
AKT2,FGF8
DTNB,VCP
GNG2,KISS1R
UBA5,NAA15
PRAM1,PSEN1
UBC,EHMT1
ESR1,JUP
HNF4A,RTP3
CLU,C9
UBE3B,EIF5A2
SP1,CYP1B1
AGAP2,EPB41L1
NF1,TSR1
TNFAIP3,RNH1
SBDS,PNP
HSD17B10,ENO1
TBL1XR1,GPS2
FLNA,DCN
HNF4A,MRPS35
HNF4A,CDC25A
MYC,TP53
ESR1,BZW1
NR3C2,FKBP5
RLF,APOA1
PYGM,OGDH
THUMPD1,PUS1
ATP6V1B1,C2orf18
PARK7,PPARGC1A
TP53,TRDMT1
RPL10,TRMT1L
IL5,KRAS
ARHGEF4,ARHGAP29
CLTC,HLA-DRA
VCAM1,PFN1
SKIV2L,FLNB
GJB2,ANTXR1
RBL2,CEP57
EPS8L2,ACTA1
JAG2,CACNA1A
BARD1,PNN
GNB1,SSTR4
PHGDH,SLC2A2
CASP8,RB1
EYA1,ATN1
ATM,APOA1
AGT,TAC3
ADAMTS4,SERPINA3
VANGL1,DVL1
AKT1,TSC2
MME,RPL30
TTN,ANKRD1
EP300,CARM1
HDAC4,CIITA
EDA2R,TRAF3
BARD1,CCNK
NOG,BMP2
GNB1,OR10G8
ITK,HLA-DRB3
SHOC2,REPS2
KRT5,COL17A1
NLRC4,BCL10
ARHGEF40,MAPT
RHOT1,ARHGAP31
PSME2,PSMB9
PSMA3,HSD17B7
NOX4,SLC11A2
MSH2,EIF5B
FUS,SNRNP200
HNF4A,B9D2
CDK8,SMC3
GFAP,NGFR
UPF3B,SNRPA1
UBE2I,ZMYND11
BRCA1,RANBP9
SMN1,C14ORF10;PPP2R3C
GCH1,EIF4A1
RTBDN,TTC19
HNF4A,RPL27
SLC9A1,CHP
TNFRSF1A,TRAF2
RPS19,RPL21
NCSTN,TRMT6
NONO,PRKDC
KCNMA1,INMT
HNF4A,AMT
DDX6,SLC25A4
IFI16,TBK1
GIP,PLCB1
RYBP,TP53
SMN1,QIL1
PEPD,PFKL
TP53BP2,YAP1
HNF4A,IGBP1
MED12,CCDC82
ARHGDIA,ARHGAP1
ACTB,CDC16
GNE,KCTD12
FKBP1A,HSD17B10
ABCA1,ABCG1
CUL4B,COPS2
SACS,AP4E1
GSS,OLA1
MAP1B,ACTB
TNFRSF9,TRAF3
ESR1,MKI67
LEO1,CDC73
MIR224,EDNRA
ACTB,COBL
ISLR,GALNS
SMN1,RBBP4
CHMP4B,CC2D1A
CUL3,TTC37
AP2S1,CYTIP
MTHFD1,SNORA52
EPB41,SMAD3
TGOLN2,RAB18
CEP290,FGFR1OP
MIR1-1,NOTCH2
F2RL3,TRIO
FUS,SRSF7
MED12,MEN1
POC1A,SQSTM1
ATP7A,ATP5J
STAT1,ERBB2
TTC19,SPRED1
RPS27A,DNAJC3
PSMB5,RPL5
SF3B1,TXNL4A
PRKCD,IRS1
TAP2,PSMB4
TRIM28,DNMT3B
FLCN,APP
TUBA1A,EPN2
ITGA4,CHMP4B
NDUFB3,NDUFV2
EGFR,PKP2
MDM2,MKRN3
MEN1,TAF1
HINT1,FABP5
HNF4A,MED23
ZMYND11,ADARB2
BARD1,PCYT1A
TARDBP,RALGAPB
SLC25A13,GFAP
GNRHR2,LPAR6
EIF5A,MYO5B
TRIP10,CTNNB1
RPS25,RPL10
PIN1,HINT1
CDC6,ATM
POMC,AVPR2
TAC3,TACR2
HSP90AA5P,RPL5
CRX,KLHL32
PRKDC,PRKCD
APC,PSMB1
CASR,PIK3R6
NRAS,CDC37
TMEM165,SLC25A4
CALM1,KCNH1
ADD3,MEGF6
NAP1L1,TNFRSF1A
PILRA,PTPN11
CFTR,ATXN2L
MYH11,TPM3
SMAD4,CEBPA
MYC,MED12
CREBBP,MTDH
BAP1,CBX1
TXNL4A,U2AF2
TAF1,SLC35D1
LATS1,RAF1
CIB2,MYOD1
NPHP4,LATS1
GNG7,KCNJ2
KCNQ1,PSMD1
FGFR3,SMA4
ESR1,NBPF15
SETD5,NCOR2
GJA3,GJA1
GABRG2,PPP3CA
ROCK1,MYO5B
MYC,PFN1
TBK1,UBB
ABLIM1,ACTB
EFNB1,RGS3
CAPZA2,CHMP4B
ESR1,RPS19
ADAR,STAT1
ELF4,PRF1
ZNF187,MTOR
AIRE,RANBP9
NUCB1,GNAS
DIAPH1,CRK
EGFR,HGS
ACTB,STOML2
PIAS1,SMAD4
TIMM22,TIMM8A
SH3BP5,NLRC4
GMNN,CDKN2A
AURKA,PSMB4
MAP1LC3A,HSPA9
FOXH1,TCF3
IKBKG,ATRIP
SOD1,AK2
TP53RK,TP53
TTR,TTPAL
WDR5,KANSL1
RUVBL1,CLTC
TRAF3,APOBEC3C
COPB2,ATP6V1B2
BAG1,RAF1
HNF4A,SP1
APC,CASP9
ACTR1B,ACTA1
TRO,PRKCD
IRS1,PLCG2
RRM2B,WDR12
UBA52,PSEN1
MC4R,AVPR2
LBR,LMNB1
TP63,STAT6
EYA1,RANBP2
GNB1,OR2T35
PFKP,GCH1
PDE4D,LYN
EFNB1,EPHB1
PAFAH1B1,HSPA5
HLA-DPB1,PTPN11
ACTB,SORBS1
ADRBK1,GNRHR
CHEK2,CUL1
CFH,SERPING1
SCN8A,NEDD4
PDE10A,ADCY5
ITGB2,COPS3
PTCH1,ADRBK1
GNB1,CACNG2
FSHR,GLP2R
SLC25A15,IGHA2
MCCC1,AUH
GNAT1,SS18L1
TERT,UBE2D3
KCNMA1,TF
CTNNB1,SEC23A
GNB1,P2RY2
RPS27,RPL11
CREBBP,KPNA6
CFH,CR1
ADRB1,PLCB1
FFAR3,TRIO
MYL9,MYH10
PPP2R1A,RAB18
FGF2,KL
ERCC3,TAF7
DYNLL1,CAV1
RPS13,RPS19
FGF10,THEM4
ANKH,RPSA
CUL3,UBAP2
SUPT16H,CDC73
RPS19,SMG5
MIR222,KIT
PRKCD,PLCG2
TBC1D4,TBC1D2
ACADM,MED1
ALDH1B1,FH
RAD23A,MSH6
SMN1,A2M
RPS6KA3,CAMK2A
S100A4,MYH10
HNF1A,MT1L
CYP2D6,SLC25A6
GLI3,FAM160A1
PIK3R1,GABRA1
SYN1,ZNF81
ACTB,STAMBPL1
SMAD4,ZFYVE9
HNF4A,MID1IP1
RAD21,CSTB
TPM2,CKMT1B
ACADM,IDH3A
UBA1,UBE3B
CEP170,PKD2
APEX1,KRT8
PINK1,UBE2M
PTHLH,PIK3R6
KRIT1,RAP1A
ARX,CLTB
CUL3,ACIN1
OPRD1,ATP2A2
ARHGEF10,SETD2
BARD1,MSH6
EYA1,SIX2
RPL10,MYO1G
PLCB1,NPS
TNFRSF1A,FANCD2
PTPN11,INSR
SF3B4,ARHGAP18
SMAD3,TBC1D10A
ZCCHC8,BRCA1
ADCY5,TAAR1
CCL21,CXCR4
CASR,NPY
ATM,H2AFX
INHBA,SMAD4
HEXA,NEU4
INS,RPS4X
CUL3,ATP5B
HSPA14,GALNT2
SHMT1,ALAS2
MIR92A1,SMAD4
NFKB2,HDAC4
GRIN1,MYH10
LY9,PTPN11
CHRM4,PLCB1
KLHL3,WNK2
CUL1,KRT16
ABCB7,RPN1
GH1,SH2B1
APOC1,CRB1
CALML3,FLNB
HTR4,SRC
TWIST1,MTA2
UQCR11,UCP3
NDUFB10,TPM3
ATP5D,MTFMT
CUL3,TARS
CTBP1,EHMT1
RPS19,WIBG
LEPR,STAT3
RHO,RHOQ
PMS2,XPO1
IRF7,TBK1
GNA11,GPR17
BRCA1,PABPC1
MPV17,MSLN
BRCA1,PSMG1
CREBBP,MED30
HNF4A,PRPS1
HNF4A,ADCY7
TRIO,NMS
RDH12,DAK
SHANK1,GRIP1
RFX6,RIPK3
ELAVL1,CREBBP
SYT1,CACNG2
VHL,CCT8
WDR45,VAC14
RAD21,HIST1H4I
SLC2A1,BTF3
MAGEL2,VPS26A
MC2R,GCG
HSPA9,TANK
SOD1,AIMP1
ACTA1,MYBPC2
EDN2,TACR3
ENO3,MYH11
SIX1,CDH1
BMPR2,GCGR
VHL,NR4A2
HNF4A,SULT1C2
NEDD8,FUS
EDNRA,GCG
CUL3,PSPC1
MKRN3,TRIM34
TRMT5,VPS35
MIR16-1,SHOC2
CENPA,SMC1A
RAB18,RAB10
PSEN1,PSEN1
NFKB2,RPS18
PPP2R5D,PPP2R5C
VIPR1,GNAS
QTRTD1,APOC3
GTSE1,NECAP1
HNF4A,SEPSECS
SNX4,PDGFRB
CUL5,VHL
SNW1,MLH1
NLRC4,NLRP1
KCNH2,BAG2
HNF4A,MRPS15
PCYT1A,SIN3A
COL5A1,COL4A5
SEC61A2,SCNN1B
ABCA1,TBL1XR1
PLCG2,HAX1
IL2RG,STAT1
BARD1,CDK12
PCSK1,REN
EDNRB,PIK3CG
NPHS1,DDB1
EPN1,CLTC
CUL3,TUBA4B
SCNN1G,COMMD1
CBS,POLR2B
FH,SOD2
BZRAP1,CACNA1A
TNNC2,SOD1
SMC1A,HNRNPH1
PTDSS1,LPCAT4
VHL,TCP1
GATA3,KLRC1
GPC3,VCAN
EDNRA,PLCB4
KCNK18,TGFBR2
RRM2B,SMARCC2
NCK1,SF3B4
GABRB3,PPP2CA
DNM1L,MFF
BTRC,YAP1
SEPT5-GP1BB,RAF1
PLAG1,CFH
VPS13C,CFL1
UBE2D1,VHL
HLA-E,STAT1
HNF4A,MAT1A
GLI2,CREB1
SIAE,GALNT7
TTR,HPX
TXLNA,CUL3
PARP16,LRBA
CASR,HCRTR1
HSPB1,HSPA9
HNF4A,HPS6
RAD21,SPC25
EDNRA,FFAR3
HDAC8,MLF1IP
PITX2,CTNNB1
EGFR,PRKD1
CUL3,ATP1A2
TP63,CHN1
NUP98,GCK
CDC14A,ACO2
YWHAZ,STK11
HCN4,HCN3
MDC1,HDAC8
PDGFRA,HRAS
MLH1,ACTG2
NCSTN,COPA
CSNK1D,SNCA
VPS35,SRP54
RAD21,TFG
SNW1,SQSTM1
MIR29B1,GRN
COL16A1,GFAP
TNF,FAS
MYH10,SPECC1
PRDX1,MSH6
CREBBP,PLIN1
C3,RXFP3
IDH3A,POLR3B
CEP57,CEP70
TRMT1,CTPS
SOD1,RARS2
POLR2J,PRPF4
GAST,KISS1R
KIT,UBC
EIF2B2,MRE11A
RPL10,RPL26
KCNH2,YWHAH
HNF4A,CWF19L1
IARS,IKBKG
BARD1,CCDC88A
FLNB,KIF23
CHEK2,VHL
TCEB2,PSMB4
DDX1,SCARB2
EGFR,KRT5
CFTR,SEC61A2
SMARCC1,SMARCE1
RCVRN,SMAD3
HCRT,PROKR2
POLR2A,SMC3
FGFR3,POLA2
HNF4A,CSTF1
CDKN2A,ZFP91
GNB1,GNGT1
GCN1L1,TUBA1A
NOTCH1,CHD4
RPS19,LOC100505503
HSP90AA1,KRAS
UPF3B,XRN2
RIPK3,GNB1
KLK3,NTRK1
RBM28,KRI1
ACTBL2,ACTA1
LBR,CBX5
HNF4A,ERCC6
ACTB,H2AFX
PPAN-P2RY11,SMAD2
NCSTN,PRSS21
DMWD,F7
STX1A,CAV1
GLRA3,ALDH7A1
COG6,AARS
BMPR1A,HSPB1
HNF1A,GTF2E1
EXT2,GPC1
SIRT7,ASNS
SPOP,ESR1
FLNA,FLNB
IRF3,IFIH1
