FSHR,PIK3R5
SUMO1,EFTUD2
DYRK1A,LIMS1
BRCA1,ACTG1
UCHL1,CTNNB1
ADCY5,GNB3
CALM2,MYLK
WDFY3,SQSTM1
SS18,ARID1B
NFATC2,FOXP3
DDX43,SIX1
DYNLL1,DIAPH1
SULT1C4,PAPSS2
C1QBP,ACTB
HNF1A,FAM107B
ATM,CFB
UBC,GNE
ZHX1,ZMYND11
EDNRA,PIK3CA
CHN1,NET1
NAA25,TPM3
TERF2,TBX1
NLN,SYNE1
MLH1,RPS2
NDUFAB1,ALAS2
IRS1,SH2B1
DHX9,TXNL4A
OS9,VCP
BOD1,FMN2
BRCC3,BRCA2
RPL5,RPLP0
TAF1,AP4S1
SMAD3,RGS3
ADRA1B,GNRHR
INS,ERO1L
AKT1,BRAF
EP300,MED8
RPS19,RPS18
TERT,POT1
MAP1A,ACTA1
FGF9,SOS1
SIL1,MRPS5
ACTN4,ACTB
OAS3,STAT1
MEN1,ASH2L
HTR3C,PGAP1
RPS27,ZWILCH
NOC2L,CDC14A
MIR34B,NOTCH1
DRD3,PLCB1
THOC1,FMR1
TRMT112,VHL
SMAD3,TPX2
SNAP29,ITPR3
APOE,JARID2
PAK3,CIRH1A
POMC,SSTR2
STAT6,CDKN2A
ZEB2,SMAD9
RTN2,PDHA1
DDX3X,SGK1
BMP4,BMPR1B
LPAR3,GNA11
GNB1,OR4F4
SCN5A,INADL
AP4E1,EXOC6
PCNA,APOB
TNNI3K,MYBPC3
CDKN2A,ORC4
ZMPSTE24,HNRNPUL1
EDNRA,F2
CD38,CXCR4
MC5R,AVPR2
HNF4A,PEX11B
PRPF31,EFTUD2
CUL3,HSP90AA2
SRP19,SSR4
LIG4,NEU1
MIR200B,ZEB1
RLF,GJC2
GSK3A,MAPT
CXCR4,S1PR5
PRODH,RPL5
SLX4,CSNK2A1
SMC3,RPL7
RUNX2,CREBBP
NONO,SNRPA
MED12,CCNT1
ATP6V1B2,EEF1E1
GNB1,KCNJ6
DVL2,FLNB
KDM2B,SF3B4
AP2B1,L1CAM
CAPN1,LAMTOR1
GNA11,HTR2C
SOS1,ARHGAP28
TSC1,FBXW5
FLNB,RAC1;RAC3
NUP160,RAD21
RYR2,NPHS1
ESR1,PSMC6
UBC,UCHL1
BRIP1,RPA1
NR1I2,LMF1
MC1R,PLCB1
GRIN2B,IRS1
CUL3,CANX
WDR36,DHX37
TP63,MARK3
CTNNB1,EZH2
CPT2,TBL1XR1
APLNR,MTNR1B
TP53,ADA
WHSC1,NSD1
EP300,NFKBIA
NPPC,NPR2
XIAP,CASP6
ATP6V1B1,RAB22A
TP53,AIFM2
MYL3,MYH3
TAF1,GOSR2
ATP7A,CLU
HAND1,TCF12
PYGM,AKR1B1
MAPK1,ESR1
PIK3CD,UBC
CD68,VWF
ABCB4,SIN3B
KLF1,SMARCB1
SUMO3,NONO
SHOC2,GABPB1
SIGLEC7,PTPN11
YWHAB,NRAS
ABCF2,MTHFD1
NPFFR1,TRIO
MYC,HSPA9
RB1,CDC6
MSH2,RAD21
PRKCD,PTPN22
IGF2,INSR
NTN1,SRC
ARRB2,SRC
RUNX1,RBM14
FGF10,PTF1A
TAC4,TACR3
GCH1,MAPK7
RPL36A,DNAJC3
ASNS,KYNU
KIF1B,NAV1
ABCB4,TBL1XR1
RING1,POLR3B
HAL,MAPK3
SF3A3,PRPF4
GBA2,PPFIA1
PSMB9,RBX1
NR1I3,SRC
TP63,BTRC
GRIN2B,PRKACB
HDAC8,NDE1
ADORA2A,MC1R
EREG,EGFR
TRIO,ARHGAP8
BRCA1,PRPF38A
RNASEH2A,NUS1
RYR2,SCAF1
HNF4A,CLYBL
STUB1,UBE2E2
FANCB,C19orf40
EIF3C,MTOR
GLI3,YWHAE
OAT,SOD1
RB1,ZBTB7A
CLTC,GAK
UBE2D2,RNF43
AVP,PTH1R
DCP1A,MAP2K1
CHD2,BCKDK
ZMPSTE24,HNRNPF
RAD21,HIST1H4F
TLR3,UBA52
TDGF1,SMAD4
STXBP1,UGT1A6
CFTR,SNX4
PMM2,SNORD19B
MLLT1,NHS
EGFR,NRAS
UBC,FBXL4
INS,RPS15
VWF,OPTN
POU2F1,VWF
RIT1,RALGDS
CFTR,APOA2
DNAI1,COX5A
SKAP1,RTEL1
GNB1,OR5P2
APOE,ADRA1B
CUL3,ACTR1A
GLUD1,DYNLL1
CDKN2A,CDK5RAP3
BMPR1A,NDUFV1
CDKN2A,CDKN2AIP
HNF4A,NAA10
SACS,AMPD3
TP53BP2,APC2
GMNN,PSMB8
DNAJB12,HSPA9
HNF4A,MTHFD1
NOS2,KRT8
MIR92B,CDKN1C
TSHR,ADM2
RTN2,SLC25A4
ABCC2,NDUFA2
HTRA1,ICT1
ARG1,TRIP10
CUL3,SLC1A3
DIAPH1,ARPC1A
STXBP2,ATP6V1B2
OPTN,ZNF384
SCN5A,ZNF232
TAF1,ZMPSTE24
MBD2,TBX19
RFXANK,GPR84
CRHR2,PTH1R
FGFR1,SHB
MIR370,CPT1A
MSH6,AKR7A2
SOCS1,CREBBP
CTSA,GINS2
FAS,HIPK3
MSH2,HIST3H3
USP39,TXNL4A
HNF4A,LOC729991-MEF2B
NSL1,HDAC8
DPPA4,ALOXE3
POLR2A,GMPPA
RAD21,DAPK3
PPP2R5A,CHEK2
SNAP29,BLOC1S2
KRT16,CFH
RPL37,UPF3B
ADCY2,MTNR1B
AP4E1,CRB1
RPL5,POLR3B
SCN5A,SERPING1
PLEKHJ1,DNMT3B
OPHN1,ECT2
VCP,MDM2
TRIM28,STAT3
MYH10,COBL
ADRA2B,CXCR4
PAFAH1B1,NDC80
GNRHR,GRK5
KLRK1,TYROBP
BLMH,ATP6V1B2
PSMA3,CCT6B
TUBA3D,NFKBIA
GJA1,RPLP2
EFTUD2,CPSF1
SYT1,SMARCC2
UBE2E4P,TRIM2
SIAE,DCBLD2
BARD1,SELENBP1
CUL4B,KRT9
MED12,PPARG
DBN1,MYO5B
ELL2,AFF4
CHEK2,RB1
ACVR1B,XIAP
AGA,ADRA1B
EXO1,PMS2
SMARCB1,SMARCD2
HNF4A,SAT2
PSMB4,UBA2
MAPK1,HNF4A
SLX4,ANKRD17
APH1B,NCSTN
BRCA2,TOP3A
EDNRA,FFAR2
DENND1A,NECAP1
RPS9,RPS27
PWP1,ATP6V1B2
HNF4A,RASSF1
MAP3K8,NFKB2
RBM28,UTP20
PAX5,RB1
CTNNA2,CTNNB1
IRS4,PTPN11
TP63,MYLPF
CUL3,KLHL23
KCNJ2,KCNJ4
FUBP1,SMN1
CAV3,DAG1
PORCN,WNT3
CFTR,CEP170
NECAP1,APP
PRKCE,STAT1
IKBKG,RBX1
POT1,CPPED1
NMI,ACTA1
VHL,APRT
ADORA2B,AVPR2
EGFR,ANKRD13B
HPCAL1,CLTC
CRYAB,CCDC85C
SON,SRRM2
KRAS,FRS3
VCP,CANX
PKD1,VCL
CBFB,MYH11
GCH1,PC
KNTC1,HDAC8
XCL2,KISS1R
IMMP1L,HTRA1
NGLY1,RAD23A
GBA,BMP2K
SBDS,SPR
CREBBP,NMI
PTPN11,CHUK
KCNMA1,CFH
GAD1,STXBP1
E2F1,XIAP
YWHAE,TSC1
RAB3GAP2,GSTK1
RBL2,PCNT
FGF2,HRAS
GNB1,OR2T4
EDNRA,GHRL
SBDS,IMP4
TAGLN3,CRYAB
GABRA4,GABRA1
ATP7B,PNPLA7
PIK3R3,PROK2
RPS19,RPL39
NOTCH1,POGLUT1
CAPN1,LIX1
STXBP2,SMN1
CELA1,SERPINA3
FLNA,KIAA1009
UNC119,CHST6
PMVK,SREBF2
GFAP,KIAA0408
GNRHR,KISS1R
PXN,ITGB3
HOXC6,HOXD4
CEP57,FGF2
SNAP25,CAV1
FLNB,RAI14
SMARCC2,ACTB
VCP,WBSCR22
COL6A1,MMP13
DCX,KIAA1432
KRT14,GABBR1
PKD1,COL2A1
HAX1,EPB41L1
LAT,SOS1
MARS,TBL1XR1
POLR3B,TSR1
CASR,GNRHR2
RAB10,TBC1D4
PLA2G6,PLA2G4B
PSMC2,MSH6
HSD17B10,TAGLN3
PRPS2,PRPS1
DNAJC17,HSPA9
MAP3K1,TP53
ATP1A3,HOMER1
ALDH18A1,GLUL
OAZ1,PSMB4
PGR,ESR1
NPEPPS,SOD1
TTR,KIAA1377
CDK9,NBN
HLA-DRA,ITK
VCP,PPP1R3B
AUP1,ITGA2B
GNB1,FFAR1
EGFR,SLA
ATR,IPO4
HSP90AA1,TRIM2
ESR1,POR
BRCA1,UBE2E2
ADI1,STUB1
KRT1,ACTB
SS18,SMARCB1
TARDBP,TARDBP
PUS1,LOC100505503
BCL3,TRIM2
STIP1,AGPAT2
IKBKG,IPO9
S100A6,STUB1
PKD1,JAK2
VWF,GP1BB
ATRX,RAD51
MED7,LPL
SCN5A,F2
ADRA1D,GNB1
SMARCB1,RELB
PDE4D,ADCY7
HNF4A,C21orf122
HSP90AA1,MSH2
POMC,ADCY6
DAXX,CTNNB1
SCN2B,SAAL1
CLTC,GMPPB
PAFAH1B1,CEP164
TTN,PLAG1
KCNE2,KCNH2
DIAPH1,VCP
NOTCH1,TUBA1A
DLG4,KCNJ2
PYGM,EPS15
SOX2,RBP1
PALB2,F7
BRCA1,PISD
PGR,UBE3A
SPARC,COL13A1
ASXL1,GRB2
NCOA3,KCNMA1
ESR1,FMR1
FBN2,MFAP2
NCK1,PFN1
GATA2,PML
SMC3,ECT2
RAB1A,COG6
SDHB,HADHB
TRIAP1,TP53
APC,TUBA4A
CUL3,GPS1
GFAP,S100B
UBE3A,PRDX1
EDN1,GNA11
EYA1,SS18
TGFBR1,TRAP1
CKAP5,ACADM
HNF4A,JMJD5
CD36,MYD88
ATM,LEPREL1
TRIM27,FANCM
DRD2,CXCR4
POT1,STUB1
HTR4,MC1R
ATM,GSN
GNB1,PTH2
AARS,VCP
MYC,SLC2A1
SPTAN1,PRKCB
VCP,MAPK13
UPF3B,SMG5
SKP1,FBXL4
ACSL4,MYO5B
CCDC151,FBXL4
HRAS,CBL
DYNC1H1,CEP135
ACVRL1,CAV1
S100A4,SMAD3
CARD11,DPP4
PDCD10,PPME1
